hhID,SUBREG,SUBREG_GRP,SUBREGCluster,HHSize,HHIncome,HHDwelling,HHChildren,HHweight,SUBREG_GRPDummy,SUBREGClusterDummy
23625,77,35,4,2,3,1,0,38.01839415,35,4
23626,12,2,4,3,3,1,0,20.3367354,2,4
23627,33,6,2,1,2,2,0,24.16290488,6,2
23628,41,12,2,2,2,1,0,37.44934896,12,2
23629,51.1,19,1,4,3,2,1,14.77051901,19,1
23630,51.1,19,1,3,2,1,0,32.82337558,19,1
23631,52.1,20,1,3,1,2,1,37.15883436,20,1
23632,47.2,18,2,1,2,2,0,28.07877365,18,2
23633,62.1,25,2,1,3,2,0,51.49353372,25,2
23634,82,38,3,2,1,1,0,59.89611441,38,3
23635,37,10,4,4,3,1,1,21.53115773,10,4
23636,47.2,18,2,1,1,2,0,28.07877365,18,2
23637,55,21,3,2,2,1,0,38.37644494,21,3
23638,77,35,4,2,3,1,0,38.01839415,35,4
23639,12,2,4,4,3,1,1,9.151530931,2,4
23640,47.1,17,1,2,1,2,0,16.84120461,17,1
23641,55,21,3,4,2,2,1,17.26940022,21,3
23642,93,41,3,1,1,1,0,44.75355287,41,3
23643,61,24,3,1,2,1,0,46.18484884,24,3
23644,47.2,18,2,2,3,2,0,28.07877365,18,2
23645,29,6,1,2,3,1,0,24.16290488,6,1
23646,13.1,3,1,3,2,2,1,32.17161866,3,1
23647,53.2,20,3,3,3,2,0,37.15883436,20,3
23648,44,16,3,4,1,2,0,16.30134452,16,3
23649,12,2,4,4,3,1,1,9.151530931,2,4
23650,83,39,3,2,1,1,0,37.06229615,39,3
23651,83,39,3,3,2,2,1,37.06229615,39,3
23652,34,7,4,4,2,2,1,15.78682604,7,4
23653,56,21,1,3,2,1,0,38.37644494,21,1
23654,69,29,3,1,2,1,0,42.86345741,29,3
23655,62.2,26,4,3,1,1,0,40.292277,26,4
23656,93,41,3,2,3,1,0,44.75355287,41,3
23657,35,8,3,1,1,1,0,33.68115209,8,3
23658,51.1,19,1,3,2,1,0,32.82337558,19,1
23659,43,15,3,2,2,2,0,37.21069356,15,3
23660,34,7,4,1,1,1,0,35.08183565,7,4
23661,68,28,3,2,2,1,0,29.48582053,28,3
23662,34,7,4,2,2,2,0,61.82066827,7,4
23663,55,21,3,2,2,1,0,38.37644494,21,3
23664,92,40,4,4,1,1,1,26.55835501,40,4
23665,22,5,2,1,1,2,0,37.35369136,5,2
23666,56,21,1,2,1,1,0,38.37644494,21,1
23667,62.2,26,4,4,1,2,1,18.13152465,26,4
23668,13.1,3,1,1,2,2,0,32.17161866,3,1
23669,75,34,3,1,2,2,0,36.64959926,34,3
